,precision,recall,f1-score,support
Capacitor,0.3333333333333333,0.2727272727272727,0.3,11.0
FA AC,1.0,1.0,1.0,3.0
Inductor,0.7777777777777778,0.4375,0.56,16.0
Resistor,0.8695652173913043,0.7407407407407407,0.8,27.0
micro avg,0.75,0.5789473684210527,0.6534653465346535,57.0
macro avg,0.7451690821256038,0.6127420033670034,0.665,57.0
weighted avg,0.7471819645732689,0.5789473684210527,0.6466666666666666,57.0
